album_name,track_title,track_n,lyric,line
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,i cant help it if you look like an angel,38
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,cant help it if i wanna kiss you in the rain so,39
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,come feel this magic ive been feeling since i met you,40
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,cant help it if theres no one else,41
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,mmm i cant help myself,42
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,if you look like an angel,43
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,cant help it if i wanna kiss you in the rain so,44
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,come feel this magic ive been feeling since i met you,45
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,cant help it if theres no one else,46
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,mmm i cant help myself,47
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,ahuh myself,48
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,mmmmm i cant help myself,49
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,i cant help myself,50
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,ohohoh,51
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,mmmmm mmmm,52
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,mmmmm mmmm,53
Fearless (Taylor’s Version),Hey Stephen (Taylor’s Version),4,mmmmm mmmm,54
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,say youre sorry that face of an angel,1
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,comes out just when you need it to,2
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,as i paced back and forth all this time,3
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,cause i honestly believed in you,4
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,holdin on the days drag on,5
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,stupid girl i shoulda known i shoulda known,6
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,that im not a princess this aint a fairytale,7
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,im not the one youll sweep off her feet lead her up the stairwell,8
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,this aint hollywood this is a small town,9
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,i was a dreamer before you went and let me down,10
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,now its too late for you and your white horse,11
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,to come around,12
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,maybe i was naïve got lost in your eyes,13
Fearless (Taylor’s Version),White Horse (Taylor’s Version),5,and never really had a chance,14
